ISIN,Price,Callable,Rating,Z_Spread
XS1411404426,97.137,Y,A+,-72.48174656156681
FR00140082Z6,94.246,Y,BBB-,-72.5690567788067
XS1882681452,96.637,Y,NR,-72.86746142751075
ES0213307061,98.725,N,A-,-72.98145772071814
XS2238792688,59.505,Y,A-,-73.271827714625
XS1843434108,93.598,Y,BBB,-73.53527521604738
XS2194370727,98.02066,N,A-,-74.1543668605001
XS1788586375,98.632,Y,A-,-74.25141843848306
XS1966038249,95.88042,Y,A-,-74.3631236263699
XS1998904921,95.59467,Y,A,-74.43652930409358
FR0013248523,95.84961,Y,NR,-74.56568132942603
XS1566101603,98.447,N,A+,-74.56961195949194
FR0013310224,94.42,Y,BBB+,-74.63455399022367
ES0239140017,96.62347,Y,NR,-74.6710952871742
FR0013323870,97.399,Y,BBB+,-74.85127986383257
FR0013507704,97.30016,Y,BBB,-74.95899161736706
XS1700721464,97.93333,Y,BBB+,-75.03475577077896
XS2386220698,48.045,Y,A+,-75.1709393784958
XS2450200741,92.53654,Y,A+,-75.34455221854684
XS1171485722,98.538,N,AAA,-75.64122531497156
XS1405766624,96.208,N,BBB+,-75.6481287808184
XS1958648294,86.93245,Y,A+,-75.67584426528951
BE6332787454,94.498,Y,NR,-75.90686234080563
XS1765875718,97.588,Y,BBB-,-76.03452200326463
XS1998798042,91.741,N,AA-,-76.27729536774704
XS1403015156,96.946,N,A+,-76.35259643462143
XS2332552541,97.29318,Y,NR,-76.50451174613303
FR0013344215,98.364,Y,NR,-76.79438369631397
FR0013222494,98.408,Y,A-,-76.88628643622619
FR0013248721,98.59916,Y,NR,-77.18994676283492
XS1421915049,92.18,Y,BBB+,-77.21559549693812
XS2189970317,93.41019,Y,A+,-77.27622136219753
XS1617831026,98.171,N,A+,-77.44547340272024
XS1548387593,89.446,Y,A-,-77.62735203818515
XS1986416698,92.36947,Y,NR,-77.90240704085325
XS2211183756,90.156,Y,BBB,-78.04583503100588
XS2093881030,98.85968,Y,BBB,-78.19689787684521
XS1405775534,96.825,Y,A-,-78.25733924949719
XS2022084367,95.524,Y,BBB,-78.39563084677657
DE000A2TSTF5,97.51118,Y,A+,-78.43812546109358
FR0013320058,97.564,Y,NR,-78.48101467268168
XS1578127778,98.67801,Y,A-,-78.73306825019053
XS1403388694,96.99312,N,BBB+,-78.82623634564804
XS1718316281,97.411,N,BBB,-78.87943062700354
XS1963745234,92.64417,Y,BBB+,-78.96488418442425
XS1960589155,86.705,N,BBB+,-79.09998661163031
XS2024716099,86.063,N,BBB+,-79.1357827172102
XS1704789590,98.01336,Y,BBB,-79.21765040062004
FR0013422227,86.753,Y,A-,-79.22200325848773
XS1619568303,95.28726,N,NR,-79.2740031193451
XS2176561095,76.13926,Y,BBB+,-79.38105211450706
